player_name,player_name_clean,draft_year,position,position_group,school,draft_team,draft_round,draft_pick,hof,category,side,age,to,allpro,probowls,seasons_started,w_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,AV_year1,AV_year2,AV_year3,AV_year4,AV_4yr_sum,AV_4yr_avg,AV_4yr_avg_percentile,car_av_filled
Eugene McCaslin,eugene mccaslin,2000,LB,LB,florida,gnb,7,249,False,LB,D,23.0,2000.0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.061099796,0
Frank Chamberlin,frank chamberlin,2000,LB,LB,boston col.,ten,5,160,False,LB,D,22.0,2005.0,0,0,0,5.0,5.0,57.0,0,0,0,0,0,0,0,0,0,0,0,40,0,1.0,1,1,3,0,5,1.25,0.413441955,5
Frank Moreau,frank moreau,2000,RB,RB,louisville,kan,4,115,False,RB,O,23.0,2001.0,0,0,0,1.0,1.0,14.0,0,0,0,0,0,75,206,5,0,0,0,0,0,0.0,1,0,0,0,1,0.25,0.216397849,1
Frank Murphy,frank murphy,2000,WR,WR,kansas st.,chi,6,170,False,WR,O,23.0,2004.0,0,0,0,1.0,,20.0,0,0,0,0,0,0,0,0,8,71,1,8,0,0.0,0,1,0,0,1,0.25,0.280762565,1
Fred Robbins,fred robbins,2000,DT,DL,wake forest,min,2,55,False,DL,D,23.0,2011.0,0,0,10,51.0,9.0,180.0,0,0,0,0,0,0,0,0,0,0,0,272,3,35.5,0,4,5,5,14,3.5,0.724657534,65
Gari Scott,gari scott,2000,WR,WR,michigan st.,phi,4,99,False,WR,O,22.0,2001.0,0,0,0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,2,26,0,0,0,0.0,0,0,0,0,0,0.0,0.1152513,0
Gary Berry,gary berry,2000,DB,DB,ohio st.,gnb,4,126,False,DB,D,22.0,2000.0,0,0,0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.05942623,0
Gillis Wilson,gillis wilson,2000,DE,DL,southern,car,5,147,False,DL,D,22.0,2001.0,0,0,0,1.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.5,0,1,0,0,1,0.25,0.183622829,1
Greg Randall,greg randall,2000,OT,OL,michigan st.,nwe,4,127,False,OL,O,22.0,2003.0,0,0,2,18.0,13.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,9,2,6,20,5.0,0.683035714,20
Greg Wesley,greg wesley,2000,DB,DB,ark-pine bluff,kan,3,85,False,DB,D,22.0,2007.0,0,0,7,39.0,39.0,118.0,0,0,0,0,0,0,0,0,0,0,0,509,29,6.0,7,7,6,7,27,6.75,0.948770492,46
Hank Poteat,hank poteat,2000,DB,DB,pittsburgh,pit,3,77,False,DB,D,23.0,2009.0,0,0,1,16.0,4.0,110.0,0,0,0,0,0,0,0,0,0,0,0,164,4,3.0,2,2,1,0,5,1.25,0.433743169,18
Ian Gold,ian gold,2000,LB,LB,michigan,den,2,40,False,LB,D,22.0,2007.0,0,1,5,39.0,33.0,115.0,0,0,0,0,0,0,0,0,0,0,0,436,4,17.0,2,4,8,4,18,4.5,0.745417515,45
Ike Charlton,ike charlton,2000,DB,DB,virginia tech,sea,2,52,False,DB,D,22.0,2003.0,0,0,0,5.0,3.0,53.0,0,0,0,0,0,0,0,0,0,0,0,83,2,2.0,1,2,1,1,5,1.25,0.433743169,5
Isaiah Kacyvenski,isaiah kacyvenski,2000,LB,LB,harvard,sea,4,119,False,LB,D,22.0,2006.0,0,0,2,16.0,15.0,100.0,0,0,0,0,0,0,0,0,0,0,0,227,3,1.0,1,2,4,1,8,2.0,0.530549898,17
J.R. Redmond,jr redmond,2000,RB,RB,arizona st.,nwe,3,76,False,RB,O,22.0,2004.0,0,0,0,9.0,6.0,50.0,0,0,0,0,0,194,676,1,68,502,2,11,0,0.0,4,2,0,0,6,1.5,0.467741935,9
JaJuan Dawson,jajuan dawson,2000,WR,WR,tulane,cle,3,79,False,WR,O,22.0,2002.0,0,0,0,5.0,3.0,30.0,0,0,0,0,0,0,0,0,52,664,2,2,0,0.0,1,2,2,0,5,1.25,0.505199307,5
Jabari Issa,jabari issa,2000,DE,DL,washington,ari,6,176,False,DL,D,22.0,2001.0,0,0,0,4.0,4.0,23.0,0,0,0,0,0,0,0,0,0,0,0,25,0,1.0,1,3,0,0,4,1.0,0.370967742,4
Jacoby Shepherd,jacoby shepherd,2000,DB,DB,oklahoma st.,stl,2,62,False,DB,D,21.0,2003.0,0,0,0,1.0,1.0,30.0,0,0,0,0,0,0,0,0,0,0,0,27,1,0.0,1,0,0,0,1,0.25,0.164617486,1
Jamal Lewis,jamal lewis,2000,RB,RB,tennessee,bal,1,5,False,RB,O,21.0,2009.0,1,1,9,69.0,53.0,131.0,0,0,0,0,0,2542,10607,58,221,1879,4,0,0,0.0,11,0,11,17,39,9.75,0.947580645,78
James Whalen,james whalen,2000,TE,TE,kentucky,tam,5,157,False,TE,O,22.0,2003.0,0,0,0,1.0,,26.0,0,0,0,0,0,0,0,0,17,152,0,16,0,0.0,0,0,1,0,1,0.25,0.323420074,1
James Williams,james williams,2000,WR,WR,marshall,sea,6,175,False,WR,O,22.0,2003.0,0,0,0,4.0,4.0,30.0,0,0,0,0,0,1,-5,0,29,410,1,0,0,0.0,6,14,7,0,27,6.75,0.897746967,27
Jarious Jackson,jarious jackson,2000,QB,QB,notre dame,den,7,214,False,QB,O,23.0,2003.0,0,0,0,0.0,0.0,5.0,11,22,114,0,1,7,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.161290323,0
Jason Thomas,jason thomas,2000,OG,OL,hampton,sdg,7,222,False,OL,O,23.0,2003.0,0,0,0,1.0,,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0.25,0.204166667,1
Jason Webster,jason webster,2000,DB,DB,texas aandm,sfo,2,48,False,DB,D,22.0,2008.0,0,0,5,26.0,17.0,90.0,0,0,0,0,0,0,0,0,0,0,0,351,11,0.5,4,7,6,1,18,4.5,0.816256831,29
Jay Tant,jay tant,2000,TE,TE,northwestern,ari,5,164,False,TE,O,22.0,2000.0,0,0,0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,1,4,0,0,0,0.0,0,0,0,0,0,0.0,0.141263941,0
Jeff Ulbrich,jeff ulbrich,2000,LB,LB,hawaii,sfo,3,86,False,LB,D,23.0,2009.0,0,0,4,31.0,31.0,120.0,0,0,0,0,0,0,0,0,0,0,0,366,2,5.5,0,7,5,7,19,4.75,0.767820774,36
Jeno James,jeno james,2000,OG,OL,auburn,car,6,182,False,OL,O,23.0,2006.0,0,0,4,26.0,12.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,7,13,3.25,0.597916667,29
Jeremiah Parker,jeremiah parker,2000,DE,DL,california,nyg,7,217,False,DL,D,22.0,2000.0,0,0,0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.066997519,0
