player_name,player_name_clean,draft_year,college_season,position,position_group,school,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Brian Hill,brian hill,2017,2014,RB,RB,wyoming,160.0,0.113,18.035,10.419,7.615,0.371,99.027,0.11271875,0.5777100083171611,0.4222345439423343
Bucky Hodges,bucky hodges,2017,2014,TE,TE,virginia tech,77.0,0.4,30.807,31.955,-1.147,2.902,230.08,0.400090909090909,1.0,0.0
C.J. Beathard,cj beathard,2017,2013,QB,QB,iowa,36.0,0.033,1.172,-2.455,3.627,0.791,264.567,0.0325555555555555,0.0,1.0
Carlos Henderson,carlos henderson,2017,2014,WR,WR,louisiana tech,51.0,0.797,40.66,35.704,4.956,2.374,210.085,0.7972549019607843,0.8781111657648796,0.1218888342351205
Chris Godwin,chris godwin,2017,2014,WR,WR,penn state,42.0,0.474,19.897,21.09,-1.192,2.016,174.363,0.4737380952380952,1.0,0.0
Christian Mccaffrey,christian mccaffrey,2017,2014,RB,RB,stanford,59.0,0.469,27.65,15.272,12.378,1.016,216.405,0.4686440677966101,0.5523327305605787,0.4476672694394213
Corey Davis,corey davis,2017,2013,WR,WR,western michigan,76.0,0.766,58.25,58.467,-0.217,3.193,343.83500000000004,0.7664473684210527,1.0,0.0
Dalvin Cook,dalvin cook,2017,2014,RB,RB,florida state,192.0,0.197,37.84,17.066,20.774,0.724,189.676,0.1970833333333333,0.4510042283298096,0.5489957716701902
David Njoku,david njoku,2017,2015,TE,TE,miami,35.0,0.643,22.515,22.515,0.0,1.421,75.4,0.6432857142857143,1.0,0.0
Deshaun Watson,deshaun watson,2017,2014,QB,QB,clemson,200.0,0.579,115.738,97.198,18.539,1.356,666.432,0.57869,0.8398106067151669,0.1601807530802329
Deshone Kizer,deshone kizer,2017,2015,QB,QB,notre dame,465.0,0.376,174.72,130.357,44.363,0.6739999999999999,319.66,0.3757419354838709,0.7460908882783883,0.2539091117216117
Donnel Pumphrey,donnel pumphrey,2017,2013,RB,RB,san diego state,138.0,0.084,11.653,15.616,-3.962,0.84,268.11,0.0844420289855072,1.0,0.0
Elijah Mcguire,elijah mcguire,2017,2013,RB,RB,louisiana,112.0,0.283,31.657,16.198,15.459,1.023,208.608,0.2826517857142857,0.5116719840793506,0.4883280159206494
Evan Engram,evan engram,2017,2013,TE,TE,ole miss,18.0,0.74,13.316,13.316,0.0,2.95,156.39600000000002,0.7397777777777779,1.0,0.0
Isaiah Ford,isaiah ford,2017,2014,WR,WR,virginia tech,88.0,0.749,65.927,67.963,-2.037,1.874,218.343,0.7491704545454546,1.0,0.0
Isaiah Mckenzie,isaiah mckenzie,2017,2014,WR,WR,georgia,19.0,0.204,3.867,0.365,3.502,1.734,81.715,0.2035263157894737,0.0943884147918282,0.9056115852081716
Jake Butt,jake butt,2017,2013,TE,TE,michigan,20.0,0.748,14.955,14.955,0.0,2.25,98.748,0.74775,1.0,0.0
Jamaal Williams,jamaal williams,2017,2013,RB,RB,byu,230.0,0.102,23.356,10.815,12.541,0.401,82.517,0.1015478260869565,0.4630501798253125,0.5369498201746874
James Conner,james conner,2017,2013,RB,RB,pittsburgh,140.0,0.034,4.716,2.384,2.332,1.108,118.295,0.0336857142857142,0.5055131467345207,0.4944868532654791
